"Longitude","Latitude","MeanCollisionRiskIndex"
-86.875,29.625,0.000133217181428336
-85.875,29.375,0.000142787699587643
-84.625,29.375,7.06400678609498e-05
-86.875,29.125,0.000322347215842456
-84.125,29.125,5.71508207940497e-05
49.875,29.125,0.00310436566360295
50.125,29.125,0.00266600889153779
50.375,29.125,0.00195791805163026
-94.875,28.875,0.0067303255200386
-94.375,28.875,0.00781514029949903
-87.625,28.875,0.000855442718602717
-87.375,28.875,0.00162022409494966
-83.875,28.875,0.000111141664092429
49.625,28.875,0.00389651022851467
49.875,28.875,0.00341691658832133
-113.125,28.625,2.02288556465646e-05
-95.375,28.625,0.00175395398400724
-95.125,28.625,0.00247723539359868
-94.375,28.625,0.00683762179687619
-89.125,28.625,0.00691311107948422
-87.625,28.625,0.000702396035194397
-87.375,28.625,0.000772101106122136
-87.125,28.625,0.000585211324505508
-86.875,28.625,0.000716495502274483
-86.125,28.625,0.000157855407451279
-83.625,28.625,3.49823749274947e-05
49.375,28.625,0.00300732930190861
49.625,28.625,0.00376132084056735
49.875,28.625,0.0138800861313939
50.125,28.625,0.00328079727478325
-95.625,28.375,0.00171598175074905
-95.375,28.375,0.000650725793093443
-94.125,28.375,0.00367465824820101
-93.875,28.375,0.00355103961192071
-89.625,28.375,0.00330577068962157
-89.125,28.375,0.00657191732898355
-88.625,28.375,0.00672310497611761
-88.375,28.375,0.00219653639942408
-87.625,28.375,0.00100402103271335
-87.375,28.375,0.000755319488234818
-87.125,28.375,0.00100585701875389
-86.625,28.375,0.000845306785777211
-83.375,28.375,6.37268967693672e-05
49.375,28.375,0.00247306167148054
50.125,28.375,0.00360206142067909
50.375,28.375,0.0166263114660978
50.625,28.375,0.00479545490816236
-96.125,28.125,0.0013495854800567
-95.875,28.125,0.00422046845778823
-94.375,28.125,0.0166795197874308
-94.125,28.125,0.00311999535188079
-93.875,28.125,0.00545876426622272
-93.625,28.125,0.00294246361590922
-89.875,28.125,0.00517455395311117
-88.875,28.125,0.0108377048745751
-88.125,28.125,0.00273609394207597
-86.125,28.125,0.000913620693609118
-85.625,28.125,0.00104019895661622
-83.625,28.125,0.000204602663870901
-83.375,28.125,0.00031433452386409
49.375,28.125,0.001809649518691
49.625,28.125,0.00279277842491865
50.375,28.125,0.00681534875184298
50.625,28.125,0.00323268352076411
50.875,28.125,0.00283327954821289
