ID,Region,VesselType,OverlapMean,OverlapMedian,OverlapSD,OverlapSE,ColRiskMean,ColRiskMedian,ColRiskSD,ColRiskSE
ID139,PAC_W,Total,68.8034188,66.66666667,31.84940307,9.194130718,0.000377216,0.000176827,0.000464471,6.64E-05
ID140,PAC_W,Total,56,50,37.8153408,16.91153453,0.00016663,9.98E-05,0.000203103,4.43E-05
ID141,PAC_W,Total,90,100,21.08185107,6.666666667,0.000447499,0.000342047,0.000434131,6.08E-05
ID142,PAC_W,Total,72.91666667,83.33333333,35.56516487,12.57418463,0.000184224,0.000116163,0.000183813,3.68E-05
ID143,PAC_W,Total,69.79166667,70.83333333,31.47734761,11.12892298,0.000262446,0.000157217,0.000352913,6.24E-05
ID144,PAC_W,Total,76.38888889,100,32.92042237,9.503307357,0.000165291,4.83E-05,0.000299211,6.69E-05
ID145,PAC_W,Total,69.79166667,70.83333333,33.90506705,11.98725141,0.000189757,0.00012054,0.000207546,4.42E-05
ID146,PAC_W,Total,100,100,0,0,0.000230605,0.000147707,0.000300218,8.67E-05
ID147,PAC_W,Total,95.92592593,100,8.127077132,2.709025711,0.000584163,0.000224055,0.00099511,0.000102096
ID148,PAC_W,Total,68.22916667,79.16666667,33.77222225,11.94028369,0.000474839,0.000212965,0.000673394,0.000127259
ID149,PAC_W,Total,100,100,0,0,0.000231983,6.96E-05,0.000449214,0.000105881
ID150,PAC_W,Total,100,100,0,0,0.001200119,0.001023685,0.001068281,0.000201886
ID151,PAC_W,Total,100,100,0,0,0.001048274,0.000218714,0.001924895,0.000290189
ID152,PAC_W,Total,100,100,0,0,0.000564966,0.000314608,0.000631903,0.000113493
ID153,PAC_W,Total,69.53042328,69.04761905,13.9454613,4.025707917,0.000540921,0.000454306,0.000500301,6.87E-05
ID154,PAC_W,Total,86.36363636,100,23.35496832,7.041787902,0.000370009,0.000116763,0.000543218,0.00013175
ID155,PAC_W,Total,100,100,0,0,0.000607511,0.000441562,0.000513742,0.000132647
ID156,PAC_W,Total,85.99173554,100,29.91504374,9.019725062,0.000888812,0.000456047,0.001154737,0.00011378
ID157,PAC_W,Total,98.33333333,100,5.773502692,1.666666667,0.000985027,0.00058731,0.001525466,0.000127566
ID158,IND_E,Total,76.51515152,100,40.62330028,12.24838589,0.001713864,0.001186705,0.002009096,0.000284129
ID159,IND_E,Total,66.66666667,100,43.30127019,14.43375673,0.00034513,0.000103717,0.000614661,0.000170476
ID160,IND_E,Total,72.22222222,95.83333333,38.65368992,11.15835914,0.002078889,0.000956026,0.00290773,0.000465609
ID161,IND_E,Total,63.88888889,83.33333333,43.13084001,12.45080105,0.000463876,0.00020428,0.000726129,0.000158454
ID162,PAC_W,Total,81.25,85.41666667,17.36237369,5.012085562,0.000640137,0.000412499,0.000817084,0.000109187
ID163,PAC_W,Total,84.51028139,89.20454545,17.57356745,5.073051948,0.000436343,0.000238198,0.000573412,6.67E-05
ID164,PAC_W,Total,86.58008658,100,17.56177071,5.295073101,0.000558619,0.000347678,0.000721886,9.48E-05
ID165,PAC_W,Total,100,100,0,0,0.001284955,0.000567058,0.001584647,0.000253747
ID166,IND_E,Total,62.5,75,43.30127019,12.5,0.000305149,0.000137649,0.000458984,0.000100159
ID167,IND_E,Total,50,50,53.45224838,18.89822365,0.000112678,7.85E-05,0.000158175,4.77E-05
ID168,PAC_W,Total,100,100,0,0,0.000767976,0.000433876,0.000997895,0.000208075
ID169,PAC_W,Total,97.34848485,100,5.972369037,1.800737019,0.002026755,0.000376096,0.004399148,0.00049184
ID170,IND_E,Total,58.33333333,75,46.87184333,13.53073568,0.000544937,0.000100918,0.001168118,0.000275328
ID171,PAC_W,Total,91.03642066,97.0959596,15.93451986,4.599899664,0.000663874,0.000211335,0.002097463,0.000127412
ID172,PAC_W,Total,75.71428571,100,38.23486317,14.45141991,0.000220576,0.000156044,0.000401899,8.77E-05
ID173,IND_E,Total,74.07407407,100,43.39027598,14.46342533,0.003535876,0.000142832,0.006660879,0.00166522
ID174,PAC_W,Total,31.94444444,25,33.6787657,9.722222222,0.000117176,0,0.000210275,4.38E-05
ID175,PAC_W,Total,80.55555556,83.33333333,22.15266893,9.04378922,0.000120226,4.30E-05,0.000192071,5.54E-05
ID176,IND_E,Total,60,100,54.77225575,24.49489743,0.000207026,4.51E-05,0.000317701,0.00014208
ID177,IND_E,Total,60,100,51.63977795,16.32993162,0.001074665,0.000183748,0.003510112,0.000702022
ID178,PAC_W,Total,91.66666667,100,14.43375673,8.333333333,0.000207927,8.50E-05,0.000344125,5.58E-05
